Name,latitude,longitude,Ocean,Fate,Date
U-1,54.233333,5.116667,The North Sea,Sunk,1940-04-06
U-2,54.65,19.916667,The Baltic Sea,Stricken,1944-04-08
U-3,54.5175,18.54,The Baltic Sea,Stricken,1944-08-01
U-4,54.5175,18.54,The Baltic Sea,Stricken,1944-08-01
U-5,54.65,19.916667,The Baltic Sea,Sunk,1943-03-19
U-6,54.5175,18.54,The Baltic Sea,Stricken,1944-08-07
U-7,54.866667,19.485556,The Baltic Sea,Sunk,1944-02-18
U-8,53.516667,8.166667,The North Sea,Scuttled,1945-05-05
U-9,44.2,28.683333,The Black Sea,Sunk,1944-08-20
U-10,54.4,18.7,The Baltic Sea,Stricken,1944-08-01
U-11,54.323333,10.139444,The Baltic Sea,Scuttled,1945-05-03
U-12,51.166667,1.5,The English channel,Sunk,1939-10-08
U-13,52.433333,2.033333,The North Sea,Sunk,1940-05-31
U-14,53.516667,8.133333,The Baltic Sea,Scuttled,1945-05-05
U-15,54.4,7.833333,The North Sea,Sunk,1940-01-30
U-16,51.15,1.466667,The North Sea,Sunk,1939-10-25
U-17,53.528611,8.105556,The Baltic Sea,Scuttled,1945-05-05
U-18,44.2,28.683333,The Black Sea,Scuttled,1944-08-25
U-19,41.566667,31.833333,The Black Sea,Scuttled,1944-09-11
U-20,41.166667,30.783333,The Black Sea,Scuttled,1944-09-10
U-21,54.65,19.916667,The Baltic Sea,Scrapped,1945-02-01
U-22,57.5,9.0,The North Sea,Missing,1940-03-27
U-23,41.183333,30.0,The Black Sea,Scuttled,1944-09-10
U-24,44.2,28.683333,The Black Sea,Scuttled,1944-08-25
U-25,54.233333,5.116667,The North Sea,Sunk,1940-08-02
U-26,51.342583,-10.182861,The Atlantic ocean,Scuttled,1940-07-01
U-27,58.583333,-9.033333,The Atlantic ocean,Sunk,1939-09-20
U-28,54.116667,10.833333,The Baltic Sea,Scuttled,1944-03-17
U-29,49.95,-15.566667,The Atlantic ocean,Scuttled,1945-05-05
U-30,53.528611,8.105556,The Baltic Sea,Scuttled,1945-05-05
U-31,55.644056,-8.413556,The Atlantic ocean,Sunk,1940-11-02
U-32,55.616667,-12.316667,The Atlantic ocean,Sunk,1940-10-30
U-33,55.416667,-5.116667,The Atlantic ocean,Sunk,1940-02-12
U-34,55.7,21.15,The Baltic Sea,Sunk,1943-08-05
U-35,60.883333,2.783333,The North Sea,Scuttled,1939-11-29
U-36,57.0,5.033333,The North Sea,Sunk,1939-12-04
U-37,54.916667,9.783333,The Baltic Sea,Scuttled,1945-05-08
U-38,53.566667,8.533333,The North Sea,Scuttled,1945-05-05
U-39,58.533333,-11.816667,The Atlantic ocean,Sunk,1939-09-14
U-40,50.7,0.25,The English channel,Sunk,1939-10-13
U-41,49.333333,-10.066667,The Atlantic ocean,Sunk,1940-02-05
U-42,49.2,-16.0,The Atlantic ocean,Sunk,1939-10-13
U-43,34.95,-35.183333,The Atlantic ocean,Sunk,1943-07-30
U-44,54.233333,5.116667,The North Sea,Sunk,1940-03-13
U-45,50.966667,-12.95,The Atlantic ocean,Sunk,1939-10-14
U-46,54.833333,9.483333,The Baltic Sea,Scuttled,1945-05-05
U-47,52.7414,-11.5258,The Atlantic ocean,Sunk,1941-03-07
U-48,54.116667,10.833333,The Baltic Sea,Scuttled,1945-05-03
U-49,68.883333,16.983333,The Atlantic ocean,Sunk,1940-04-15
U-50,53.978439,5.215405,The North Sea,Sunk,1940-04-06
U-51,45.5,-4.4,The Atlantic ocean,Sunk,1940-08-20
U-52,54.42602,18.682926,The Baltic Sea,Sunk,1945-05-03
U-53,60.533333,-6.233333,The Atlantic ocean,Sunk,1940-02-24
U-54,54.95,6.75,The North Sea,Sunk,1940-02-13
U-55,48.616667,-7.8,The Atlantic ocean,Sunk,1940-01-30
U-56,54.316667,10.166667,The Baltic Sea,Scuttled,1945-05-03
U-57,54.316667,10.166667,The Baltic Sea,Scuttled,1945-05-03
U-58,54.316667,10.166667,The Baltic Sea,Scuttled,1945-05-03
U-59,54.316667,10.166667,The Baltic Sea,Scuttled,1945-05-03
U-60,53.528611,8.105556,The Baltic Sea,Scuttled,1945-05-05
U-61,53.528611,8.105556,The Baltic Sea,Scuttled,1945-05-05
U-62,53.528611,8.105556,The Baltic Sea,Scuttled,1945-05-05
U-63,58.666667,-0.166667,The North Sea,Sunk,1940-02-25
U-64,68.548333,17.55,The Barents Sea,Sunk,1940-04-13
U-65,60.066667,-15.75,The Atlantic ocean,Sunk,1941-04-28
U-66,17.283333,-32.483333,The Atlantic ocean,Sunk,1944-05-06
U-67,30.083333,-44.283333,The Atlantic ocean,Sunk,1943-07-16
U-68,33.4,-18.983333,The Atlantic ocean,Sunk,1944-04-10
U-69,50.6,-41.116667,The Atlantic ocean,Sunk,1943-02-17
U-70,60.25,-14.0,The Atlantic ocean,Sunk,1941-03-07
U-71,53.528611,8.105556,The Baltic Sea,Scuttled,1945-05-02
U-72,53.08,8.46,The Baltic Sea,Sunk,1945-03-30
U-73,36.116667,-0.833333,The Mediterranean Sea,Sunk,1943-12-16
U-74,37.533333,0.166667,The Mediterranean Sea,Sunk,1942-05-02
U-75,31.833333,26.666667,The Mediterranean Sea,Sunk,1941-12-28
U-76,58.583333,-20.333333,The Atlantic ocean,Sunk,1941-04-05
U-77,38.644444,0.046111,The Mediterranean Sea,Sunk,1943-03-29
U-78,54.65,19.916667,The Baltic Sea,Sunk,1945-04-16
U-79,32.212423,25.521036,The Mediterranean Sea,Sunk,1941-12-23
U-80,54.4167,19.8333,The Baltic Sea,Sunk,1944-11-28
U-81,44.866667,13.85,The Mediterranean Sea,Scrapped,1944-04-22
U-82,40.050283,-23.419869,The Atlantic ocean,Sunk,1942-02-06
