UboatName,TypeOfUboat,Commissioned,Fate_Date,Days_in_service
U-8,IIB,1935-01-01,1945-05-05,3777
U-14,IIB,1935-01-01,1945-05-05,3777
U-17,IIB,1935-01-01,1945-05-05,3777
U-11,IIB,1935-01-01,1945-05-03,3775
U-19,IIB,1935-01-01,1944-09-11,3541
U-18,IIB,1935-01-01,1944-08-25,3524
U-9,IIB,1935-01-01,1944-08-20,3519
U-6,IIA,1935-01-01,1944-08-07,3506
U-3,IIA,1935-01-01,1944-08-01,3500
U-4,IIA,1935-01-01,1944-08-01,3500
U-10,IIB,1935-01-01,1944-08-01,3500
U-29,VIIA,1936-01-01,1945-05-05,3412
U-30,VIIA,1936-01-01,1945-05-05,3412
U-2,IIA,1935-01-01,1944-04-08,3385
U-7,IIB,1935-01-01,1944-02-18,3335
U-21,IIB,1936-01-01,1945-02-01,3319
U-20,IIB,1936-01-01,1944-09-10,3175
U-23,IIB,1936-01-01,1944-09-10,3175
U-24,IIB,1936-01-01,1944-08-25,3159
U-5,IIA,1935-01-01,1943-03-19,2999
U-28,VIIA,1936-01-01,1944-03-17,2998
U-34,VIIA,1936-01-01,1943-08-05,2773
U-37,IXA,1938-01-01,1945-05-08,2684
U-38,IXA,1938-01-01,1945-05-05,2681
U-46,VIIB,1938-01-01,1945-05-05,2681
U-56,IIC,1938-01-01,1945-05-03,2679
U-57,IIC,1938-01-01,1945-05-03,2679
U-58,IIC,1938-01-01,1945-05-03,2679
U-59,IIC,1938-01-01,1945-05-03,2679
U-60,IIC,1939-01-01,1945-05-05,2316
U-61,IIC,1939-01-01,1945-05-05,2316
U-62,IIC,1939-01-01,1945-05-05,2316
U-48,VIIB,1939-01-01,1945-05-03,2314
U-52,VIIB,1939-01-01,1945-05-03,2314
U-143,IID,1940-01-01,1945-12-22,2182
U-145,IID,1940-01-01,1945-12-22,2182
U-149,IID,1940-01-01,1945-12-21,2181
U-150,IID,1940-01-01,1945-12-21,2181
U-13,IIB,1935-01-01,1940-05-31,1977
U-120,IIB,1940-01-01,1945-05-05,1951
U-121,IIB,1940-01-01,1945-05-05,1951
U-137,IID,1940-01-01,1945-05-05,1951
U-139,IID,1940-01-01,1945-05-05,1951
U-140,IID,1940-01-01,1945-05-05,1951
U-141,IID,1940-01-01,1945-05-05,1951
U-142,IID,1940-01-01,1945-05-05,1951
U-146,IID,1940-01-01,1945-05-05,1951
U-148,IID,1940-01-01,1945-05-05,1951
U-151,IID,1940-01-01,1945-05-05,1951
U-152,IID,1940-01-01,1945-05-05,1951
U-552,VIIC,1940-01-01,1945-05-05,1951
U-554,VIIC,1940-01-01,1945-05-05,1951
