UboatName,TotalShipsSunked,Days_in_service,Days_per_ship,FateDate,WarOutCome
U-1,0,1922,,1940-04-06,Did not survive the War
U-10,2,3500,1750,1944-08-01,Did not survive the War
U-100,25,441,17,1941-03-17,Did not survive the War
U-1000,0,790,,1945-03-01,Did not survive the War
U-1001,0,828,,1945-04-08,Did not survive the War
U-1002,0,859,,1945-05-09,Survived the war
U-1003,0,814,,1945-03-25,Did not survive the War
U-1004,2,859,429,1945-05-09,Survived the war
U-1005,0,864,,1945-05-14,Survived the war
U-1006,0,654,,1944-10-16,Did not survive the War
U-1007,0,852,,1945-05-02,Survived the war
U-1008,0,856,,1945-05-06,Survived the war
U-1009,0,495,,1945-05-10,Survived the war
U-101,23,1949,84,1945-05-03,Survived the war
U-1010,0,499,,1945-05-14,Survived the war
U-1013,0,76,,1944-03-17,Did not survive the War
U-1014,0,400,,1945-02-04,Did not survive the War
U-1015,0,499,,1945-05-14,Survived the war
U-1016,0,490,,1945-05-05,Survived the war
U-1017,2,484,242,1945-04-29,Did not survive the War
U-1018,1,423,423,1945-02-27,Did not survive the War
U-1019,0,494,,1945-05-09,Survived the war
U-102,1,182,182,1940-07-01,Did not survive the War
U-1020,0,374,,1945-01-09,Did not survive the War
U-1021,0,438,,1945-03-14,Did not survive the War
U-1022,2,494,247,1945-05-09,Survived the war
U-1023,1,495,495,1945-05-10,Survived the war
U-1024,0,467,,1945-04-12,Did not survive the War
U-1025,0,490,,1945-05-05,Survived the war
U-103,45,1949,43,1945-05-03,Survived the war
U-104,1,332,332,1940-11-28,Did not survive the War
U-105,23,1248,54,1943-06-02,Did not survive the War
U-1051,2,391,195,1945-01-26,Did not survive the War
U-1052,0,494,,1945-05-09,Survived the war
U-1053,0,411,,1945-02-15,Did not survive the War
U-1054,0,259,,1944-09-16,Did not survive the War
U-1055,4,478,119,1945-04-23,Did not survive the War
U-1056,0,490,,1945-05-05,Survived the war
U-1057,0,494,,1945-05-09,Survived the war
U-1058,0,495,,1945-05-10,Survived the war
U-1059,0,443,,1944-03-19,Did not survive the War
U-106,22,1309,59,1943-08-02,Did not survive the War
U-1060,0,665,,1944-10-27,Did not survive the War
U-1061,0,859,,1945-05-09,Survived the war
U-1062,0,638,,1944-09-30,Did not survive the War
U-1063,0,470,,1945-04-15,Did not survive the War
U-1064,1,494,494,1945-05-09,Survived the war
U-1065,0,464,,1945-04-09,Did not survive the War
U-107,39,1691,43,1944-08-18,Did not survive the War
U-108,26,1562,60,1944-04-11,Did not survive the War
U-109,12,1219,101,1943-05-04,Did not survive the War
U-11,0,3775,,1945-05-03,Survived the war
U-110,3,494,164,1941-05-09,Did not survive the War
U-1101,0,855,,1945-05-05,Survived the war
U-1102,0,498,,1945-05-13,Survived the war
U-1103,0,855,,1945-05-05,Survived the war
U-1104,0,859,,1945-05-09,Survived the war
U-1105,1,495,495,1945-05-10,Survived the war
U-1106,0,453,,1945-03-29,Did not survive the War
U-1107,2,485,242,1945-04-30,Did not survive the War
U-1108,0,494,,1945-05-09,Survived the war
U-1109,0,497,,1945-05-12,Survived the war
U-111,4,642,160,1941-10-04,Did not survive the War
U-1110,0,499,,1945-05-14,Survived the war
U-1131,0,454,,1945-03-30,Did not survive the War
U-1132,0,490,,1945-05-05,Survived the war
U-116,1,643,643,1942-10-06,Did not survive the War
U-1161,0,855,,1945-05-05,Survived the war
U-1162,0,855,,1945-05-05,Survived the war
U-1163,1,859,859,1945-05-09,Survived the war
U-1164,0,570,,1944-07-24,Did not survive the War
U-1165,1,859,859,1945-05-09,Survived the war
U-1166,0,853,,1945-05-03,Survived the war
U-1167,0,819,,1945-03-30,Did not survive the War
U-1168,0,854,,1945-05-04,Survived the war
U-1169,0,818,,1945-03-29,Did not survive the War
U-117,0,948,,1943-08-07,Did not survive the War
U-1170,0,852,,1945-05-02,Survived the war
U-1171,0,859,,1945-05-09,Survived the war
U-1172,2,757,378,1945-01-27,Did not survive the War
U-118,4,892,223,1943-06-12,Did not survive the War
U-119,1,539,539,1943-06-24,Did not survive the War
U-1191,0,549,,1944-07-03,Did not survive the War
U-1192,0,853,,1945-05-03,Survived the war
U-1193,0,855,,1945-05-05,Survived the war
U-1194,0,859,,1945-05-09,Survived the war
U-1195,2,827,413,1945-04-07,Did not survive the War
U-1196,0,852,,1945-05-02,Survived the war
U-1197,0,851,,1945-05-01,Did not survive the War
U-1198,0,858,,1945-05-08,Survived the war
U-1199,0,751,,1945-01-21,Did not survive the War
U-12,0,1741,,1939-10-08,Did not survive the War
U-120,0,1951,,1945-05-05,Survived the war
U-1200,0,681,,1944-11-12,Did not survive the War
U-1201,0,853,,1945-05-03,Survived the war
U-1202,1,859,859,1945-05-09,Survived the war
U-1203,1,859,859,1945-05-09,Survived the war
U-1204,0,855,,1945-05-05,Survived the war
U-1205,0,853,,1945-05-03,Survived the war
U-1206,0,834,,1945-04-14,Did not survive the War
U-1207,0,490,,1945-05-05,Survived the war
U-1208,1,420,420,1945-02-24,Did not survive the War
U-1209,0,352,,1944-12-18,Did not survive the War
U-121,0,1951,,1945-05-05,Survived the war
U-1210,0,488,,1945-05-03,Survived the war
U-122,1,538,538,1940-06-22,Did not survive the War
U-1221,0,823,,1945-04-03,Did not survive the War
U-1222,0,557,,1944-07-11,Did not survive the War
U-1223,1,855,855,1945-05-05,Survived the war
U-1224,0,498,,1944-05-13,Did not survive the War
U-1225,0,540,,1944-06-24,Did not survive the War
U-1226,0,661,,1944-10-23,Did not survive the War
U-1227,1,853,853,1945-05-03,Survived the war
U-1228,1,867,867,1945-05-17,Survived the war
U-1229,0,597,,1944-08-20,Did not survive the War
U-123,44,1692,38,1944-08-19,Did not survive the War
U-1230,1,855,855,1945-05-05,Survived the war
U-1231,0,863,,1945-05-13,Survived the war
U-1232,3,853,284,1945-05-03,Survived the war
U-1233,0,855,,1945-05-05,Survived the war
U-1234,0,490,,1945-05-05,Survived the war
U-1235,0,470,,1945-04-15,Did not survive the War
U-124,48,1187,24,1943-04-02,Did not survive the War
U-125,17,1221,71,1943-05-06,Did not survive the War
U-126,25,1279,51,1943-07-03,Did not survive the War
U-127,0,348,,1941-12-15,Did not survive the War
U-1271,0,859,,1945-05-09,Survived the war
U-1272,0,860,,1945-05-10,Survived the war
U-1273,0,413,,1945-02-17,Did not survive the War
U-1274,1,471,471,1945-04-16,Did not survive the War
U-1275,0,488,,1945-05-03,Survived the war
U-1276,1,416,416,1945-02-20,Did not survive the War
U-1277,0,519,,1945-06-03,Survived the war
U-1278,0,413,,1945-02-17,Did not survive the War
U-1279,0,423,,1945-02-27,Did not survive the War
U-128,12,866,72,1943-05-17,Did not survive the War
U-129,29,1325,45,1944-08-18,Did not survive the War
U-13,9,1977,219,1940-05-31,Did not survive the War
U-130,24,800,33,1943-03-12,Did not survive the War
U-1301,0,859,,1945-05-09,Survived the war
U-1302,3,431,143,1945-03-07,Did not survive the War
U-1303,0,490,,1945-05-05,Survived the war
U-1304,0,490,,1945-05-05,Survived the war
U-1305,1,495,495,1945-05-10,Survived the war
U-1306,0,490,,1945-05-05,Survived the war
U-1307,0,494,,1945-05-09,Survived the war
U-1308,0,486,,1945-05-01,Did not survive the War
U-131,1,350,350,1941-12-17,Did not survive the War
U-132,9,672,74,1942-11-04,Did not survive the War
U-133,1,437,437,1942-03-14,Did not survive the War
U-134,3,968,322,1943-08-27,Did not survive the War
U-135,3,925,308,1943-07-15,Did not survive the War
U-136,7,556,79,1942-07-11,Did not survive the War
U-137,7,1951,278,1945-05-05,Survived the war
U-138,6,534,89,1941-06-18,Did not survive the War
U-139,0,1951,,1945-05-05,Survived the war
U-14,9,3777,419,1945-05-05,Survived the war
U-140,4,1951,487,1945-05-05,Survived the war
U-1405,0,490,,1945-05-05,Survived the war
U-1406,0,124,,1945-05-05,Survived the war
U-1407,0,124,,1945-05-05,Survived the war
U-141,4,1951,487,1945-05-05,Survived the war
U-142,0,1951,,1945-05-05,Survived the war
U-143,1,2182,2182,1945-12-22,Survived the war
U-144,1,587,587,1941-08-10,Did not survive the War
U-145,0,2182,,1945-12-22,Survived the war
U-146,1,1951,1951,1945-05-05,Survived the war
U-147,2,518,259,1941-06-02,Did not survive the War
U-148,0,1951,,1945-05-05,Survived the war
U-149,1,2181,2181,1945-12-21,Survived the war
U-15,3,1490,496,1940-01-30,Did not survive the War
U-150,0,2181,,1945-12-21,Survived the war
U-151,0,1951,,1945-05-05,Survived the war
U-152,0,1951,,1945-05-05,Survived the war
U-153,3,923,307,1943-07-13,Did not survive the War
U-154,10,1279,127,1944-07-03,Did not survive the War
U-155,26,1815,69,1945-12-21,Survived the war
U-156,19,796,41,1943-03-08,Did not survive the War
U-157,1,528,528,1942-06-13,Did not survive the War
U-158,17,545,32,1942-06-30,Did not survive the War
U-159,23,938,40,1943-07-28,Did not survive the War
U-16,2,1393,696,1939-10-25,Did not survive the War
U-160,26,924,35,1943-07-14,Did not survive the War
U-161,13,999,76,1943-09-27,Did not survive the War
U-162,14,610,43,1942-09-03,Did not survive the War
U-163,4,801,200,1943-03-13,Did not survive the War
U-164,3,735,245,1943-01-06,Did not survive the War
U-165,3,634,211,1942-09-27,Did not survive the War
U-166,4,575,143,1942-07-30,Did not survive the War
U-167,1,460,460,1943-04-06,Did not survive the War
U-168,3,1374,458,1944-10-06,Did not survive the War
U-169,0,450,,1943-03-27,Did not survive the War
U-17,3,3777,1259,1945-05-05,Survived the war
U-170,1,1429,1429,1945-11-30,Survived the war
U-171,3,646,215,1942-10-09,Did not survive the War
U-172,26,1076,41,1943-12-13,Did not survive the War
U-173,1,684,684,1942-11-16,Did not survive the War
U-174,5,846,169,1943-04-27,Did not survive the War
U-175,10,836,83,1943-04-17,Did not survive the War
U-176,11,864,78,1943-05-15,Did not survive the War
U-177,14,1131,80,1944-02-06,Did not survive the War
