UboatName,TypeOfUboat,TotalShipsSunked,Days_in_service,Days_per_ship
U-512,IXC,3,13,4
U-99,VIIB,38,333,8
U-100,VIIB,25,291,11
U-55,VIIB,6,70,11
U-158,IXC,17,278,16
U-44,IXA,8,130,16
U-124,IXB,48,1025,21
U-556,VIIC,6,141,23
U-160,IXC,26,636,24
U-221,VIIC,21,506,24
U-507,IXC,19,462,24
U-162,IXC,14,359,25
U-754,VIIC,13,337,25
U-130,IXC,24,639,26
U-47,VIIB,31,811,26
U-517,IXC,9,245,27
U-156,IXC,19,550,28
U-159,IXC,23,662,28
U-502,IXC,14,401,28
U-94,VIIC,26,748,28
U-172,IXC,26,768,29
U-50,VIIB,4,116,29
U-82,VIIC,9,268,29
U-201,VIIC,24,753,31
U-624,VIIC,8,255,31
U-166,IXC,4,129,32
U-432,VIIC,21,684,32
U-515,IXC,24,778,32
U-126,IXC,25,833,33
U-68,IXC,33,1154,34
U-123,IXB,44,1542,35
U-53,VIIB,7,245,35
U-107,IXB,39,1410,36
U-522,IXC,7,257,36
U-65,IXB,12,438,36
U-66,IXC,33,1220,36
U-203,VIIC,21,796,37
U-63,IIC,1,38,38
U-103,IXB,45,1763,39
U-587,VIIC,5,197,39
U-701,VIIC,9,356,39
U-129,IXC,29,1185,40
U-75,VIIB,9,374,41
U-564,VIIC,19,802,42
U-81,VIIC,26,1092,42
U-105,IXB,23,995,43
U-48,VIIB,51,2203,43
U-557,VIIC,7,306,43
U-37,IXA,55,2469,44
U-136,VIIC,7,315,45
U-204,VIIC,5,225,45
U-588,VIIC,7,316,45
U-125,IXC,17,794,46
U-176,IXC,11,516,46
U-106,IXB,22,1042,47
U-506,IXC,14,665,47
U-617,VIIC,11,521,47
U-108,IXB,26,1267,48
U-185,IXC/40,9,437,48
U-207,VIIC,2,96,48
U-404,VIIC,15,721,48
U-504,IXC,15,730,48
U-558,VIIC,18,880,48
U-175,IXC,10,498,49
U-177,IXD2,14,694,49
U-69,VIIC,17,837,49
U-181,IXD2,27,1375,50
U-552,VIIC,32,1613,50
U-268,VIIC,4,205,51
U-435,VIIC,13,678,52
U-508,IXC,14,753,53
U-77,VIIC,15,800,53
U-593,VIIC,14,781,55
U-110,IXB,3,169,56
U-95,VIIC,8,454,56
U-41,IXA,5,289,57
U-132,VIIC,9,524,58
U-198,IXD2,11,648,58
U-402,VIIC,15,875,58
U-553,VIIC,13,758,58
U-76,VIIB,2,117,58
U-138,IID,6,356,59
U-155,IXC,26,1581,60
U-582,VIIC,7,424,60
U-96,VIIC,27,1658,61
U-97,VIIC,16,991,61
U-161,IXC,13,811,62
U-182,IXD2,5,320,64
U-32,VIIA,20,1294,64
U-102,VIIB,1,65,65
U-206,VIIC,3,196,65
U-93,VIIC,8,534,66
U-128,IXC,12,816,68
U-374,VIIC,3,205,68
U-38,IXA,35,2385,68
U-43,IXA,21,1434,68
