UboatName,TypeOfUboat,Commissioned,FateDate,Fate,FateLatitude,FateLongitude,Days_in_service,TotalShipsSunked,Years_in_service,AverageDayPerShip,WarOutCome
U-1,IIA,1935-06-29,1940-04-06,Sunk,54.233333,5.116667,1743,,4.77,,Did not survive the War
U-2,IIA,1935-07-25,1944-04-08,Stricken,54.65,19.916667,3180,,8.71,,Did not survive the War
U-3,IIA,1935-09-06,1944-08-01,Stricken,54.5175,18.54,3252,2,8.9,1626,Did not survive the War
U-4,IIA,1935-08-17,1944-08-01,Stricken,54.5175,18.54,3272,4,8.96,818,Did not survive the War
U-5,IIA,1935-08-31,1943-03-19,Sunk,54.65,19.916667,2757,,7.55,,Did not survive the War
U-6,IIA,1935-09-07,1944-08-07,Stricken,54.5175,18.54,3257,,8.92,,Did not survive the War
U-7,IIB,1935-07-18,1944-02-18,Sunk,54.866667,19.485556,3137,1,8.59,3137,Did not survive the War
U-8,IIB,1935-08-05,1945-05-05,Scuttled,53.516667,8.166667,3561,,9.75,,Survived the war
U-9,IIB,1935-08-21,1944-08-20,Sunk,44.2,28.683333,3287,8,9,410.88,Did not survive the War
U-10,IIB,1935-09-09,1944-08-01,Stricken,54.4,18.7,3249,2,8.9,1624.5,Did not survive the War
U-11,IIB,1935-09-21,1945-05-03,Scuttled,54.323333,10.139444,3512,,9.62,,Survived the war
U-12,IIB,1935-09-30,1939-10-08,Sunk,51.166667,1.5,1469,,4.02,,Did not survive the War
U-13,IIB,1935-11-30,1940-05-31,Sunk,52.433333,2.033333,1644,9,4.5,182.67,Did not survive the War
U-14,IIB,1936-01-18,1945-05-05,Scuttled,53.516667,8.133333,3395,9,9.3,377.22,Survived the war
U-15,IIB,1936-03-07,1940-01-30,Sunk,54.4,7.833333,1424,3,3.9,474.67,Did not survive the War
U-16,IIB,1936-05-16,1939-10-25,Sunk,51.15,1.466667,1257,2,3.44,628.5,Did not survive the War
